Date	Wheat Price
19.04.2016	486,25
26.04.2016	479,75
03.05.2016	459,75
10.05.2016	451,50
17.05.2016	481,75
24.05.2016	464,00
31.05.2016	464,50
07.06.2016	509,00
14.06.2016	485,00
21.06.2016	458,50
28.06.2016	443,75
05.07.2016	419,50
12.07.2016	424,00
19.07.2016	418,00
26.07.2016	415,00
02.08.2016	401,25
09.08.2016	417,00
16.08.2016	423,50
23.08.2016	407,75
30.08.2016	363,25
06.09.2016	371,00
13.09.2016	374,75
20.09.2016	406,00
27.09.2016	404,00
04.10.2016	395,50
11.10.2016	407,25
18.10.2016	420,00
25.10.2016	404,25
01.11.2016	414,25
08.11.2016	415,25
15.11.2016	399,00
22.11.2016	407,25
29.11.2016	384,00
06.12.2016	389,50
13.12.2016	398,00
20.12.2016	403,25
27.12.2016	409,50
03.01.2017	407,40
10.01.2017	425,40
17.01.2017	433,40
24.01.2017	424,20
31.01.2017	419,40
07.02.2017	429,60
14.02.2017	451,00
21.02.2017	452,20
28.02.2017	442,60
07.03.2017	454,00
14.03.2017	432,00
21.03.2017	425,00
28.03.2017	425,00
04.04.2017	428,00
11.04.2017	433,00
18.04.2017	436,40
25.04.2017	428,20
02.05.2017	452,20
09.05.2017	429,40
16.05.2017	426,20
23.05.2017	428,40
30.05.2017	433,00
06.06.2017	439,00
13.06.2017	446,40
20.06.2017	486,00
27.06.2017	454,60
03.07.2017	555,00
11.07.2017	550,60
18.07.2017	502,00
25.07.2017	477,00
01.08.2017	463,00
08.08.2017	457,00
15.08.2017	432,40
22.08.2017	403,40
29.08.2017	406,40
05.09.2017	441,60
12.09.2017	442,40
19.09.2017	444,40
26.09.2017	452,40
03.10.2017	447,60
10.10.2017	434,40
17.10.2017	433,20
24.10.2017	437,40
31.10.2017	418,00
07.11.2017	425,20
14.11.2017	426,40
21.11.2017	425,60
28.11.2017	412,40
05.12.2017	432,60
12.12.2017	413,40
19.12.2017	419,00
26.12.2017	422,20
02.01.2018	435,40
09.01.2018	432,40
16.01.2018	416,60
23.01.2018	421,40
30.01.2018	457,40
06.02.2018	449,20
13.02.2018	454,40
20.02.2018	447,60
27.02.2018	466,00
06.03.2018	503,20
13.03.2018	486,40
20.03.2018	452,40
27.03.2018	448,00
03.04.2018	460,00
10.04.2018	488,20
17.04.2018	467,60
24.04.2018	473,60
01.05.2018	526,20
08.05.2018	512,20
15.05.2018	494,40
22.05.2018	522,00
29.05.2018	529,20
05.06.2018	514,00
12.06.2018	529,00
19.06.2018	483,00
26.06.2018	472,60
03.07.2018	490,60
10.07.2018	490,00
17.07.2018	502,00
24.07.2018	514,40
31.07.2018	552,20
07.08.2018	572,60
14.08.2018	538,00
21.08.2018	532,00
28.08.2018	500,60
04.09.2018	533,60
11.09.2018	521,60
18.09.2018	515,40
25.09.2018	522,40
02.10.2018	522,00
09.10.2018	516,40
16.10.2018	522,00
23.10.2018	507,60
30.10.2018	499,60
06.11.2018	512,00
13.11.2018	507,40
20.11.2018	501,60
27.11.2018	495,00
04.12.2018	520,20
11.12.2018	523,60
18.12.2018	528,60
24.12.2018	516,00
31.12.2018	503,00
08.01.2019	522,20
15.01.2019	513,60
22.01.2019	521,60
29.01.2019	512,60
05.02.2019	527,60
12.02.2019	520,00
19.02.2019	492,00
26.02.2019	462,00
05.03.2019	461,40
12.03.2019	449,60
19.03.2019	455,40
26.03.2019	470,00
02.04.2019	466,00
09.04.2019	458,00
16.04.2019	446,40
23.04.2019	438,00
30.04.2019	431,40
07.05.2019	441,75
14.05.2019	450,40
21.05.2019	479,00
28.05.2019	518,25
04.06.2019	502,20
11.06.2019	517,40
18.06.2019	526,60
25.06.2019	534,20
02.07.2019	502,00
09.07.2019	498,40
16.07.2019	505,00
23.07.2019	487,60
30.07.2019	499,40
06.08.2019	486,20
13.08.2019	476,40
20.08.2019	460,60
27.08.2019	471,60
03.09.2019	457,20
10.09.2019	479,40
17.09.2019	486,00
24.09.2019	481,60
01.10.2019	496,00
08.10.2019	499,60
15.10.2019	506,40
22.10.2019	519,60
29.10.2019	513,60
05.11.2019	515,40
12.11.2019	515,40
19.11.2019	511,40
26.11.2019	529,60
03.12.2019	525,40
10.12.2019	523,00
17.12.2019	554,00
24.12.2019	541,00
31.12.2019	559,40
07.01.2020	550,60
14.01.2020	568,40
21.01.2020	582,40
28.01.2020	569,00
04.02.2020	557,40
11.02.2020	541,20
18.02.2020	567,00
25.02.2020	540,60
03.03.2020	527,40
10.03.2020	521,60
17.03.2020	498,60
24.03.2020	560,40
31.03.2020	567,60
07.04.2020	549,20
14.04.2020	548,20
21.04.2020	547,20
28.04.2020	526,00
05.05.2020	519,40
12.05.2020	514,20
19.05.2020	499,00
26.05.2020	507,60
02.06.2020	508,00
09.06.2020	504,40
16.06.2020	496,00
23.06.2020	486,40
30.06.2020	490,00
